တိုင္း/ျပည္နယ္ (ျမန္မာ),ျမို့နယ္ (ျမန္မာ),အမ်ိုးအစား (ျမန္မာ),အမည္ (ျမန္မာ),လတၱီက်ု့,ေလာင္ဂ်ီက်ု့,ဖုန္းနံပါတ္,,,,,,
SR_MM_NAME,TS_MM_NAME,TYPE_MM,NAME_MM,LAT,LONG,Ph_no,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,စစ္ကိုင္းျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,စကိုင္းနက္,21.880747,95.987289,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,စစ္ကိုင္းျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေတာ့ပ္ဝမ္း,21.880133,95.981996,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,စစ္ကိုင္းျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေငြငန္းဦး,21.879123,95.98168,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,စစ္ကိုင္းျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဇြဲ,21.879861,95.980625,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,စစ္ကိုင္းျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေငြၾကယ္မိုး,22.766215,95.427699,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,စစ္ကိုင္းျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,သိန္းဆန္း,21.879008,95.979396,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,အာ၀ိုင္ဘီ,22.580336,95.694413,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,သာထူး,22.571097,95.691039,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ယိုရိုဇု,22.569131,95.694659,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,လ်ွပ္စစ္ပစၥည္းျပဳျပင္ေရး,ေက်ာ္စြာ,22.567522,95.698343,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေဇာ္,22.566489,95.698279,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,လင္း,22.568453,95.69848,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ထြန္း,22.568303,95.698563,,,,,,,
